compound,actual,prediction,pred errs
sec-Butyl Acetate,,397.66,25.94
sec-Butyl Acetate,,397.66,25.94
sec-Butyl Acetate,,397.66,25.94
sec-Butyl Acetate,,397.66,25.94
sec-Butyl Acetate,,397.66,25.94
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
n-Pentyl Acetate,,461.21,13.9
Isopentyl Acetate,,456.83,17.53
Isopentyl Acetate,,456.83,17.53
Isopentyl Acetate,,456.83,17.53
Isopentyl Acetate,,456.83,17.53
Isopentyl Acetate,,456.83,17.53
Isopentyl Acetate,,456.83,17.53
n-Hexyl Acetate,,524.76,13.97
n-Hexyl Acetate,,524.76,13.97
n-Hexyl Acetate,,524.76,13.97
n-Hexyl Acetate,,524.76,13.97
n-Hexyl Acetate,,524.76,13.97
Methyl Propionate,,257.19,14.35
Methyl Propionate,,257.19,14.35
Methyl Propionate,,257.19,14.35
Methyl Propionate,,257.19,14.35
Methyl Propionate,,257.19,14.35
Methyl Propionate,,257.19,14.35
Methyl Propionate,,257.19,14.35
Ethyl Propionate,,330.79,15.68
Ethyl Propionate,,330.79,15.68
Ethyl Propionate,,330.79,15.68
Ethyl Propionate,,330.79,15.68
Propyl Propionate,,398.6,14.35
Propyl Propionate,,398.6,14.35
Isopropyl Propionate,,390.08,27.77
Isobutyl Propionate,,457.76,17.94
Isobutyl Propionate,,457.76,17.94
Butyl Propionate,,462.14,14.41
Butyl Propionate,,462.14,14.41
Butyl Propionate,,462.14,14.41
Pentyl Propionate,,525.69,14.48
Pentyl Propionate,,525.69,14.48
Methyl Butyrate,,320.73,14.42
Methyl Butyrate,,320.73,14.42
Methyl Butyrate,,320.73,14.42
Methyl Butyrate,,320.73,14.42
Methyl Butyrate,,320.73,14.42
Methyl Butyrate,,320.73,14.42
Methyl Butyrate,,320.73,14.42
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Ethyl Butyrate,,394.34,15.74
Isopropyl Butyrate,,453.63,27.8
Isopropyl Butyrate,,453.63,27.8
Propyl Butyrate,,462.14,14.41
Propyl Butyrate,,462.14,14.41
Butyl Butyrate,,525.69,14.48
Butyl Butyrate,,525.69,14.48
Methyl Isobutyrate,,319.68,16.3
Methyl Isobutyrate,,319.68,16.3
Ethyl Isobutyrate,,397.54,16.24
Ethyl Isobutyrate,,397.54,16.24
Ethyl Isobutyrate,,397.54,16.24
Isobutyl Isobutyrate,,520.25,19.54
Isobutyl Isobutyrate,,520.25,19.54
Methyl Pentanoate,,384.28,14.48
Methyl Pentanoate,,384.28,14.48
Methyl Pentanoate,,384.28,14.48
Methyl Pentanoate,,384.28,14.48
Methyl Pentanoate,,384.28,14.48
Methyl Pentanoate,,384.28,14.48
Methyl Pentanoate,,384.28,14.48
Ethyl Pentanoate,,457.89,15.8
Ethyl Pentanoate,,457.89,15.8
Ethyl Pentanoate,,457.89,15.8
Butyl Pentanoate,,589.24,14.54
Butyl Pentanoate,,589.24,14.54
Ethyl Isopentanoate,,453.51,19.07
Ethyl Isopentanoate,,453.51,19.07
Methyl Pivalate,,355.14,29.31
Ethyl Pivalate,,433.0,29.27
Methyl Hexanoate,,447.83,14.55
Methyl Hexanoate,,447.83,14.55
Methyl Hexanoate,,447.83,14.55
Methyl Hexanoate,,447.83,14.55
Methyl Hexanoate,,447.83,14.55
Methyl Hexanoate,,447.83,14.55
Methyl Hexanoate,,447.83,14.55
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Ethyl Hexanoate,,521.43,15.86
Methyl Heptanoate,,511.38,14.61
Methyl Heptanoate,,511.38,14.61
Methyl Heptanoate,,511.38,14.61
Methyl Octanoate,,574.92,14.68
Methyl Octanoate,,574.92,14.68
Methyl Octanoate,,574.92,14.68
Methyl Octanoate,,574.92,14.68
Ethyl Octanoate,,648.53,15.97
Ethyl Octanoate,,648.53,15.97
Ethyl Octanoate,,648.53,15.97
Ethyl 2-Methylbutanoate,,461.09,16.3
Ethyl 2-Methylbutanoate,,461.09,16.3
Ethyl 2-Methylbutanoate,,461.09,16.3
Ethyl 2-Methylbutanoate,,461.09,16.3
Methyl Nonanoate,,638.47,14.74
Methyl Nonanoate,,638.47,14.74
Ethyl Decanoate,,775.62,16.09
Ethyl Decanoate,,775.62,16.09
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Methanethiol,,217.97,18.05
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
Ethanethiol,,266.45,17.8
1-Propanethiol,,330.0,17.85
1-Propanethiol,,330.0,17.85
1-Propanethiol,,330.0,17.85
1-Propanethiol,,330.0,17.85
1-Propanethiol,,330.0,17.85
1-Propanethiol,,330.0,17.85
1-Butanethiol,,393.55,17.91
1-Butanethiol,,393.55,17.91
1-Butanethiol,,393.55,17.91
1-Butanethiol,,393.55,17.91
1-Butanethiol,,393.55,17.91
1-Butanethiol,,393.55,17.91
1-Pentanethiol,,457.09,17.96
1-Pentanethiol,,457.09,17.96
1-Hexanethiol,,520.64,18.01
1-Hexanethiol,,520.64,18.01
1-Heptanethiol,,584.19,18.06
2-Butanethiol,,423.55,17.3
2-Methyl-2-propanethiol,,487.98,17.48
3-Methylbutanethiol,,452.71,20.9
3-Methylbutanethiol,,452.71,20.9
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Dimethyl Sulfide,,237.99,11.92
Diethyl Sulfide,,334.96,11.15
Diethyl Sulfide,,334.96,11.15
Diethyl Sulfide,,334.96,11.15
Methyl propyl Sulfide,,350.02,11.62
Diisopropyl Sulfide,,522.06,9.26
Dipropyl Sulfide,,462.05,11.32
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Carbon Disulfide,,0.0,0.0
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Dimethyl Disulfide,,276.01,13.55
Diethyl Disulfide,,372.99,12.88
Diethyl Disulfide,,372.99,12.88
Dimethyl Trisulfide,,276.01,13.55
Dimethyl Trisulfide,,276.01,13.55
Dimethyl Trisulfide,,276.01,13.55
Dimethyl Trisulfide,,276.01,13.55
Dipropyl Disulfide,,500.08,13.03
Dipropyl Disulfide,,500.08,13.03
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Acetonitrile,,144.37,8.34
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Propanenitrile,,209.88,19.24
Butanenitrile,,273.43,19.29
Butanenitrile,,273.43,19.29
Butanenitrile,,273.43,19.29
Butanenitrile,,273.43,19.29
Butanenitrile,,273.43,19.29
2-Methylpropanenitrile,,267.08,13.69
2-Methylpropanenitrile,,267.08,13.69
2-Methylpropanenitrile,,267.08,13.69
Pentanenitrile,,336.97,19.34
Pentanenitrile,,336.97,19.34
Pentanenitrile,,336.97,19.34
Pentanenitrile,,336.97,19.34
Hexanenitrile,,400.52,19.39
Hexanenitrile,,400.52,19.39
Octanenitrile,,527.61,19.49
Octanenitrile,,527.61,19.49
Butanedinitrile,,163.79,26.92
Butanedinitrile,,163.79,26.92
Pentanedinitrile,,227.34,26.95
Pentanedinitrile,,227.34,26.95
Hexanedinitrile,,290.89,26.99
Hexanedinitrile,,290.89,26.99
"2,2'-Oxybispropane",,430.68,33.55
"1,1'-Oxybispropane",,430.69,12.74
isobutyl ether,,549.02,19.86
"1,1'-Oxybisbutane",,557.78,12.89
"2,2'-Oxybispropane",,430.68,33.55
"1,1'-Oxybispropane",,430.69,12.74
isobutyl ether,,549.02,19.86
"1,1'-Oxybisbutane",,557.78,12.89
