smarts,group,Gh,Gh_err,Gh_n,Hh,Hh_err,Hh_n,Cph,Cph_err,Cp_count,V,V_err,V_count,refs,elem,published_notes,personal_notes 1,personal_notes 2
S-[CH2]-C,C-(C)(S)(H)2,0.43,0.3,12,-3.95,0.36,,49,10,4,,,,Plyasunov et al. 2005,CH2,,,
S-[CH](-C)-C,C-(C)2(S)(H),-2.81,0.53,2,,,0,,,0,,,,Plyasunov et al. 2005,CH,,,
S-[C](-C)(-C)-C,C-(C)3(S),-3.21,,1,,,0,,,0,,,,Plyasunov et al. 2005,C,,,
C-[SX2H1],S-(H)(C),-8.21,0.4,10,-13.97,2.02,4,87,,1,,,,Plyasunov et al. 2005,SH,,,
C-[SX2]-C,S-(C)2,-14.24,0.53,5,-13.13,0.57,3,30,15,3,,,,Plyasunov et al. 2005,S,,,
S-[S]-C,S-(S)(C),-7.19,0.28,4,-7.84,0.28,3,8,8,2,,,,Plyasunov et al. 2005,S,,,
S-[S]-S,S-(S)2,-1.57,,1,-3.2,,0,58,,0,,,,Plyasunov et al. 2005,S,,wont work for estimations with no Cp,
C-[CX4H1](-O-C)-C,C-(C)2(H)(O)ether,-2.82,0.3,5,0,,5,,,0,3.69,,1,Plyasunov et al. 2006a,CH,,wont work for estimations with no Cp,
C-O-[CX4H0](-C)(-C)-C,C-(C)3(O)ether,-7.77,0.46,4,0,,3,-102,,1,,,0,Plyasunov et al. 2006a,C,,,
C-[OX2]-C,O-(C)2,-15.52,0.2,34,-13.76,1.39,27,-96,9,12,4.65,0.89,11,Plyasunov et al. 2006a,O,,,
O-[CH2]-O,C-(H)2(O)2,10.63,0.72,2,5.08,,1,118,20,2,18.81,1.85,2,Plyasunov et al. 2006a,CH2,,,
O-[CH](-C)-O,C-(C)(H)(O)2,5.21,,1,4.87,,1,,,0,14.39,,1,Plyasunov et al. 2006a,CH,,,
[O](-C[CH3])-C[CH2],{CH3-CH2-O-CH2},-1.42,0.41,3,-3.34,2.11,2,0,,1,-0.99,,1,Plyasunov et al. 2006a,,,ethoxyalkane correction,correction
O-[CH2]-[CH2]-O,{O-(CH2)2-O},2.22,0.65,3,-3.79,2.81,6,1,16,8,-1.6,1.25,6,Plyasunov et al. 2006a,,,diether correction,correction
N#C-[CH2]-C,C-(CN)(C)(H)2,1.14,0.2,5,-4.3,1.44,3,71,2,2,17.36,0.79,5,Plyasuvov et al. 2006b,,,includes more information than SMARTS 2nd order,proposed correction
N#C-[CH](-C)-C,C-(CN)(C)2(H),-0.38,0.28,1,3.08,3.09,1,,,,,,,Plyasuvov et al. 2006b,,,includes more information than SMARTS 2nd order,proposed correction
C-[CX2H0]#N,CN-(C),-20.71,0.18,7,-24.43,1.31,5,8,1,3,20.66,0.53,6,Plyasuvov et al. 2006b,CN,,includes more information than SMARTS 2nd order,
[CH2](-[CH2]-C#N)-C#N,{CN-(CH2)2-CN}corr,2.99,0.9,1,1.6,3.2,1,,,,,,,Plyasuvov et al. 2006b,,,correction for lower nitriles,correction
[CH2](-[CH2]-[CH2]-C#N)-C#N,{CN-(CH2)3-CN}corr,2.58,0.8,1,0,,1,,,,,,,Plyasuvov et al. 2006b,,,correction for lower nitriles,correction
[CR0H0]=[CR0H0],C=C,-10.23,0.85,29,0.6,3.4,17,-25,,7,-7.3,,5,Plyasunov & Shock (2000),CC,double bond in linear hydrocarbon,non-terminal alkene where both carbons are branched,
[CR0H1]=[CR0H0],C=C,-6.32,,,-3.1,,,40,,,6.3,,,Plyasunov & Shock (2000),CCH,double bond in linear hydrocarbon,non-terminal alkene where one carbon is branched,
[CR0H1]=[CR0H1],C=C,-2.41,,,-6.8,,,105,,,19.9,,,Plyasunov & Shock (2000),CCHH,double bond in linear hydrocarbon,non-terminal alkene with no branches,
[CR0H1]=[CR0H2],C=C,1.5,,,-10.5,,,170,,,33.5,,,Plyasunov & Shock (2000),CCHHH,double bond in linear hydrocarbon,terminal alkene where one carbon is branched,
[CR0H0]=[CR0H2],C=C,-2.41,,,-6.8,,,105,,,19.9,,,Plyasunov & Shock (2000),CCHH,double bond in linear hydrocarbon,terminal alkene with no branching,
C-[CX4H2R]-C,c-CH2,0.83,0.07,36,-5.36,0.26,17,79,4,6,14.36,0.26,11,Plyasunov & Shock (2000),CH2,,,
C-[CX4H1R](-C)-C,c-CH,-1.03,0.39,22,-2.4,1.8,7,-50,24,4,16.9,1.3,10,Plyasunov & Shock (2000),CH,,,
C-[CX4H0R](-C)(-C)-C,c-C,-2.72,0.98,7,5.6,0,1,,,,,,,Plyasunov & Shock (2000),C,,,
[CRH0]=[CRH0],c-C=C,-9.47,0.61,14,-0.7,2.5,9,46,0,1,,,,Plyasunov & Shock (2000),CC,double bond in cyclic hydrocarbon,,
[CRH1]=[CRH0],c-C=C,-5.56,,,-4.4,,,111,,,,,,Plyasunov & Shock (2000),CCH,double bond in cyclic hydrocarbon,,
[CRH1]=[CRH1],c-C=C,-1.65,,,-8.1,,,176,,,,,,Plyasunov & Shock (2000),CCHH,double bond in cyclic hydrocarbon,,
[cH1],CHar,-0.65,0.08,26,-5,0.23,16,48,3,4,13.58,0.24,3,Plyasunov & Shock (2000),cH,aromatic carbon with hydrogen,,
[cH0],Car,-3.85,0.27,24,-0.67,0.89,15,-50,22,3,4,1.6,2,Plyasunov & Shock (2000),c,aromatic carbon,,
[CX4H3][CX4H2][OX2H0][CX4H2][CX4H3],{CH3-CH2-O-CH2},-1.42,0.41,3,-3.34,2.11,2,0,,1,-0.99,,1,Plyasunov et al. 2006a,,,ethoxyalkane correction just for diethyl ether,
